id,nombre,usuario,descripcion,cantidad_seguidores,cantidad_sigue,fecha_creacion
1252388220064747520,Gustavo Cuellar,cuellargustavo6,cuenta oficial,53746,61,Tue Apr 21 00:06:48 +0000 2020
1187835922118787073,Lavern Spicer,lavern_spicer,Republican Candidate for #FL24. Fighting to expose the lies of the left and end the Democrats' destruction of Black America. Join me in the fight! ⬇️⬇️⬇️,105323,1843,Fri Oct 25 20:59:11 +0000 2019
1433859551741218818,Soy el teniente Malagón,SoyElTeMalagon,"Coronel del glorioso Ejército de Colombia, secuestrado por la guerrilla de las FARC en 1998, y rescatado 10 años después por el Ejército en la #OperaciónJaque.",3447,27,Fri Sep 03 18:30:48 +0000 2021
1331010007840796676,Encuestas & Tendencias,encuestastende1,"Mediciones de opinión en temas de interés con impacto nacional.

Siguenos y ayudanos a generar opinion... Tus aportes cuentan.",1456,21,Mon Nov 23 23:01:38 +0000 2020
1317240644612612098,La Bodeguita,LaBodeguita_TV,Bodegueros con cara,11486,0,Fri Oct 16 23:07:42 +0000 2020
1011212221,ℳateo ℋidalgo ℳ.,MateoHidalgoMon,"LA MEJOR FORMA DE ENSEÑAR ES CON EL EJEMPLO.
-Libertario-",1416,1502,Fri Dec 14 13:58:45 +0000 2012
978128750029176832,Maria E Cardenas,mariucita501,colombiana,139,316,Mon Mar 26 04:37:21 +0000 2018
1288623137194737665,NEPTUNO,NEPTUNO92073415,"Ingeniero Electricista, apasionado Carpintero, Uribista hasta la médula, Busca pleitos profesional.“Tunito” . BÚCARO",3456,4006,Wed Jul 29 23:51:52 +0000 2020
1668435678,German Fernandez,MedicoFernandez,"Medico Rosarista con amplio conocimiento en los procesos politicos, sociales y financieros de la Seguridad Social y del Sistema de Salud",10380,2451,Tue Aug 13 18:24:01 +0000 2013
933256332,marce y ya 👍👍,marcelamvz,"pal lado de Uribe...creo en el amor❤...100%orgullosa colombiana...sí DM, por qué no😁😁",12872,1265,Thu Nov 08 00:17:10 +0000 2012
1384956625631449088,Fabio Orlando López Torres,FabioOrlandoLp3,"Uribista al 1000% ojo con el 2022. Anticomunista, Antipetrista, Demócrata, De Derecha 🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴",864,1590,Wed Apr 21 19:46:36 +0000 2021
269069240,Marcel Ramirez Rhor,marcelramirezrh,Consultor Político. Estructuración de Campañas basados en mineria de datos e inteligencia artificial. Analytica-medicion en redes y plataformas digitales.,366031,136,Sun Mar 20 01:43:23 +0000 2011
1427784642418065411,Con Cabal por Colombia,somoscabal2022,yo me pongo la camiseta por Cabal,874,1906,Wed Aug 18 00:10:18 +0000 2021
1156013155388182528,🍸betty criticona soy - cuenta actual,bettycriticonaa,"🍸CUENTA ACTUAL (la otra no sirve) Sátira, sarcasmo, memes, crítica, sondeos, política, cocteles, música, deportes. Soltera 💕(ojo no solterona)
Nueva mascota🐕",30771,20238,Tue Jul 30 01:26:28 +0000 2019
267961702,RABIOSA REPUBLICANA 🇨🇱,chivi45,"⚡⚡Si Ud. no me soporta, haga fila, tome asiento y espere a que me importe.
Patriota, sureña, amo el campo a los animales y la libertad..VIÑA.
#AtrévetePorKast.",16562,13370,Thu Mar 17 22:09:24 +0000 2011
16076032,Glenn Greenwald,ggreenwald,"Journalist; Author, ""Securing Democracy""; Co-Founder, The Intercept; Columnist, @CartaCapital; HOPE Shelter (@abrigo_hope); vegan; Insta: Glenn.11.Greenwald",1687416,990,Mon Sep 01 03:13:32 +0000 2008
335427294,HFGM2✋Firme♥️Grande,hfgm2,"Administrador de Empresas, graduado en Ciencias Militares, Magister en Seguridad y Defensa Nacionales, Consultor en seguridad Privada.",15200,15070,Thu Jul 14 17:30:05 +0000 2011
1366813432385839110,Puntodequiebre,Puntodequiebr15,punto de quiebre periodico digital para la reserva y la sociedad civil,2553,419,Tue Mar 02 18:12:11 +0000 2021
2561709684,Ines María Cañizares Pacheco,InesCanizares,"Diputada Nacional por Toledo 🏛GParlamentario VOX Congreso # Economista Castellanomanchega 💪🏻 España Siempre 💚🇪🇸 "" La perseverancia todo lo alcanza “",7816,1709,Wed Jun 11 17:06:38 +0000 2014
2327273022,Brigadier General. Diego Rosero Giraldo,PoliciaBquilla,Cuenta oficial de la Policía Metropolitana de Barranquilla. #EsUnHonorSerPolicía,35449,7247,Tue Feb 04 15:14:37 +0000 2014
226484779,Jorge Alfredo Vargas,JorgeAVargasA,Periodista Presentador @noticiascaracol Director @vozpopuli de @bluradioco y #VozPopuliteve de @caracolTV #LoQueDiceLaGente Embajador @Teletoncolombia @grupo13,42414,394,Tue Dec 14 08:02:43 +0000 2010
