id,nombre,usuario,descripcion,cantidad_seguidores,cantidad_sigue,fecha_creacion
1218340697889214464,Mateo Correa Llanos,MateoCorreaLl,Paleolibertario | Libre mercado | Minarquista 🏛 Conservador | Militante Centro Democratico 🖐🏽🫀,4244,1993,Sat Jan 18 01:14:24 +0000 2020
1000699344,Diario Las Américas,DLasAmericas,68 años informando en español desde el sur de la Florida. Un diario digital 💻 con edición impresa 📰,180254,12014,Mon Dec 10 02:20:29 +0000 2012
37193785,Esteban Hernández,EstebanH_,He/Him/Él | 🇨🇴 | Periodista | Enredador | Presentador de @VozPopuli en @BluRadioCo y DesenRédese de @CaracolTV Internacional | IG: estebanhernandezg ⚡️,23243,1675,Sat May 02 13:16:04 +0000 2009
20906396,Hernán Orjuela,hernanorjuela,Comunicador Social. TV & Radio. Speaker Coach. #Creator Entrevistas con Hernán.Trendiando Show.,233313,561,Sun Feb 15 12:06:44 +0000 2009
265752992,Catalina Suárez B.,CatalinaSuarezB,Esp. Estrategia y Comunicación | Periodista | Respeto en la diferencia| #AlOído de la W 99.9 Fm | Opiniones PERSONALES|,51064,10911,Mon Mar 14 02:56:55 +0000 2011
1280216827092709376,Alirio Barrera Rodríguez,JAlirioBarreraR,"Twitter Oficial. Líder Político, Gobernador de Casanare 2016-2019",9686,183,Mon Jul 06 19:08:23 +0000 2020
4870890513,Roberto Izurieta,robertoaizuriet,"Profesor de GWU @GSPMlatam,  Colaborador para CNN, Consultor Político",6529,96,Tue Feb 02 01:51:45 +0000 2016
1678649304,Jessi Uribe,jessiuribe3,Cantautor Colombiano / RancheroPopular Manager: Rafael Mejia Jr @manodeobramusic,40057,110,Sat Aug 17 16:52:19 +0000 2013
34857850,RobertoAndradeDirak,andradedirak,Talent Manager & Entrepreneur roberto@andradedirak.com,10794,1139,Fri Apr 24 05:28:09 +0000 2009
374607558,Silvia Tcherassi,SilviaTcherassi,Fashion designer and acclaimed lifestyle entrepreneur.,214628,127,Fri Sep 16 16:19:20 +0000 2011
21679761,Jhonny Rivera,jhonnyrivera,Mira Mi Nuevo Vídeo El Mujeriego,197111,783,Mon Feb 23 18:53:23 +0000 2009
292060888,Lina cáceres,linamcaceres,Manager celebridades digitales| Autora: Cómo Triunfar En El Mundo Digital | Speaker | libro disponible https://t.co/juVNI4ARjl.     Ser una voz y no un eco,105521,3316,Tue May 03 01:36:56 +0000 2011
126986273,Sebastian Silva ⚓️,jsebasmusic,#Pite en #LaReinaDelFlow   #Ruben en #Club57 YouTube https://t.co/SsnMAsrAbt | Contacto: sebastiansilvaactor@gmail.com #silvers⚓️,132007,380,Sat Mar 27 17:10:35 +0000 2010
867060122,Patricia Grisales,patgrisales,"Actríz de nacimiento, publicista de profesión y productora por convicción. Instagram @patgrisales",20480,2625,Sun Oct 07 22:32:59 +0000 2012
231112057,Amparo Grisales,Amparo_Grisales,T. oficial de la actriz colombiana Amparo Grisales. Actriz desde chiquita! Consciente de mi Mente y de mi Cuerpo!Dios y mi familia!Amor total por los animales!,1115946,1161,Mon Dec 27 16:42:40 +0000 2010
72393847,PITER ALBEIRO,PITERALBEIRO,"Alejandro Leiva, Empresario Colombiano ,record mundial contando chistes 101 horas seguidas.",1009045,1401,Mon Sep 07 22:01:07 +0000 2009
39823635,Fernán Martinez,FernanMartinez,Periodista y mánager de talento. Percepcionista. Millennial con 39 años de experiencia. fernanmartinez@FMC.com.co fernanmartinez@Aol.com,312111,5375,Wed May 13 20:16:30 +0000 2009
70734968,Carla Giraldo,Carlagiraldoq,las muñecas de la mafia /falsa identidad /loquito por ti/ LA RUTA BLANCA / Nora / cumbia Ninja / los graduados / la traicionera  / me llaman Lolita /,315254,487,Tue Sep 01 17:29:26 +0000 2009
