id,nombre,usuario,descripcion,cantidad_seguidores,cantidad_sigue,fecha_creacion
535520900,Libia Mosquera V. PHD en Derecho Civil Roma-Italia,libiamosquerav,"Directora de Cooperación Internacional del Distrito de Buenaventura. 

Ex-cónsul de Colombia en Washington D.C.  Ex-asesora en Ministerio de Defensa Nacional",1265,697,Sat Mar 24 17:02:30 +0000 2012
114469124,Alberto Linero,PLinero,Caribe Universal 🏝 Conferencista 🎙Escritor 📝 Periodista 🗞 PhD en Educacion. #AmarEsGanarloTodo 📖 YA DISPONIBLE EN: https://t.co/Mvi5pKys0o,3284711,104,Mon Feb 15 14:31:43 +0000 2010
176826801,Julian Steban,JulianSteban8,"Ex Jugador de Fútbol En Millonarios Fc,Bogotá Fc.   Comunicador Social, Asesor Político.        Estudiante de Derecho",305,451,Tue Aug 10 15:02:44 +0000 2010
1401310827806875650,Juventudes Liga de Gobernantes Anticorrupción,ligajuventudes,"Comité de Juventudes Liga de gobernantes anticorrupción
¡NO ROBAR,NO MENTIR,NO TRAICIONAR!
@ligagobernantes
@ingrodolfohdez
juventudesligadegobernates@gmail.com",92,41,Sat Jun 05 22:52:01 +0000 2021
191116947,Kienyke,kienyke,"Somos el primer medio nativo digital de Colombia. Encuentra aquí noticias, datos y la actualidad de Colombia y el mundo. @ForosK_Kienyke @kienyketv @kienykefm",227336,3974,Wed Sep 15 17:04:20 +0000 2010
74045723,William Dau Chamatt,daulaw,Alcalde de Cartagena de Indias 2020 - 2023,17004,196,Mon Sep 14 02:37:18 +0000 2009
987294307,Virna Johnson,VirnaJohnson,"Alcaldesa de @SantaMartaDTCH. ¡Creo en Dios! Administradora, Esp. en Admón. Pública, MSc. Exdirectora @jjbb2017, Exgerente SETP StaMta. #ElCambioEsImparable ✊🧡",25116,191,Mon Dec 03 19:37:12 +0000 2012
953276019435278337,Fabián Mayorga 📢,soyfabianmayorg,"Politólogo en formación, Activista social y político, Defensor de causas ciudadanas, opiniones muy personales.",883,763,Tue Jan 16 14:41:28 +0000 2018
2321328781,Alejandro Villanueva,VillanueAle,"DesIgual, La Direkta, La OrejaRoja.",25088,506,Fri Jan 31 20:30:41 +0000 2014
335874572,Luis E. de la hoz Lopez,delahozl,#VamosAGanarEnLaPrimeraVuelta Yo apoyo al IngRodolfoHernandezSuarez,448,123,Fri Jul 15 11:33:52 +0000 2011
